"ano_final","trimestre","mediana_variacao"
2013,1,0.01331892574676
2013,2,0.0139088172649311
2013,3,0.0139063947239332
2013,4,0.0242050288283411
2014,1,0.010782167296882
2014,2,0.0063501618504319
2014,3,-0.00219666466097874
2014,4,-0.00696980754817468
2015,1,-0.0130337359009135
2015,2,-0.0226838453213751
2015,3,-0.0511283487720446
2015,4,-0.0359071474481533
2016,1,-0.0169853033400926
2016,2,-0.0340500226362344
2016,3,-0.0194783371243173
2016,4,-0.0183300430933873
2017,1,-0.00927533103384213
2017,2,-0.0025367305966059
2017,3,0.00983926268784403
2017,4,0.0119544464176853
2018,1,-0.0100499825462893
2018,2,-0.0126457082552729
2018,3,-0.0295945727232586
2018,4,-0.0321114464571011
2019,1,-0.031460730107972
2019,2,-0.0372051485207436
2019,3,-0.0253156139880545
2019,4,-0.0203848232979179
2020,1,-0.034516089053312
2020,2,-0.0218029216114168
2020,3,-0.0204610171969973
2020,4,-0.0361351209393586
2021,1,-0.0434841249232114
2021,2,-0.0596881820883782
2021,3,-0.0768653919702299
2021,4,-0.248450681661887
2022,1,-0.025601796904526
2022,2,-0.017483838707874
2022,3,-0.00283566521326683
2022,4,0.0345331428791088
2023,1,0.0193383617451587
2023,2,0.0333303285983559
2023,3,0.0372639633730921
2023,4,0.00981736802253856
2024,1,0.0232217007408803
2024,2,0.0314664191916149
2024,3,0.0206373414917355
2024,4,0.0170970589480209
2025,1,0.0174418506216498
2025,2,0.0178673171841573
