"ano_final","trimestre","mediana_variacao","obs"
2013,1,0,199
2013,2,0,162
2013,3,0,186
2013,4,0,175
2014,1,0.0294117647058824,177
2014,2,0.00452961672473868,180
2014,3,0,191
2014,4,0,193
2015,1,0,199
2015,2,0.02996336996337,200
2015,3,0,191
2015,4,0,221
2016,1,0,203
2016,2,0,215
2016,3,0,221
2016,4,0,220
2017,1,0,238
2017,2,0,229
2017,3,0,225
2017,4,0,256
2018,1,0,248
2018,2,0,254
2018,3,0,242
2018,4,0,284
2019,1,0,296
2019,2,0,301
2019,3,0,332
2019,4,0,305
2020,1,0,266
2020,2,0,213
2020,3,0,203
2020,4,0,179
2021,1,0,228
2021,2,0,119
2021,3,0,145
2021,4,0,139
2022,1,0.0620300751879699,94
2022,2,0.142857142857143,133
2022,3,0.100909090909091,206
2022,4,0.0454545454545455,237
2023,1,0,230
2023,2,0.036144578313253,249
2023,3,0,275
2023,4,0,280
2024,1,0,283
2024,2,0,321
2024,3,0,305
2024,4,0,284
2025,1,0,305
2025,2,0.006,314
