"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.12540192926045,2564
2013,2,0.111111111111111,2699
2013,3,0.106349206349206,2726
2013,4,0.111111111111111,2626
2014,1,0.0954452054794521,2514
2014,2,0.0889414357858319,2596
2014,3,0.079646017699115,2673
2014,4,0.0678466076696165,2723
2015,1,0.0883977900552486,2555
2015,2,0.0883977900552486,2610
2015,3,0.0883977900552486,2620
2015,4,0.0883977900552486,2569
2016,1,0.1,2500
2016,2,0.116751269035533,2568
2016,3,0.111111111111111,2722
2016,4,0.111111111111111,2716
2017,1,0.0816008316008316,2430
2017,2,0.0647727272727273,2537
2017,3,0.0647727272727273,2486
2017,4,0.0647727272727273,2519
2018,1,0.0181430096051227,2428
2018,2,0.0181430096051227,2490
2018,3,0.0181430096051227,2377
2018,4,0.0181430096051227,2462
2019,1,0.0461215932914046,2191
2019,2,0.0461215932914046,2168
2019,3,0.0461215932914046,2399
2019,4,0.0461215932914046,2208
2020,1,0.045,1959
2020,2,0.0470941883767535,1625
2020,3,0.045,1586
2020,4,0.045,1643
2021,1,0,1352
2021,2,0,631
2021,3,0,941
2021,4,0,889
2022,1,0.101818181818182,765
2022,2,0.118421052631579,1111
2022,3,0.101818181818182,1653
2022,4,0.111111111111111,1850
2023,1,0.085,1871
2023,2,0.0891089108910891,2147
2023,3,0.0891089108910891,2075
2023,4,0.0891089108910891,1956
2024,1,0.0844854070660522,1939
2024,2,0.0844854070660522,2113
2024,3,0.0696969696969697,2162
2024,4,0.0714285714285714,1935
2025,1,0.075070821529745,1912
2025,2,0.0981586402266289,2094
