"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.015922800731308,1002
2013,2,0.011584752781725,1038
2013,3,0.0154992803526738,1002
2013,4,0.0267971214832564,1005
2014,1,0.0107512583966859,989
2014,2,0.00184967887620746,1071
2014,3,-0.00107876023143371,1210
2014,4,-0.00689693256374676,1117
2015,1,-0.00186029004923562,1155
2015,2,-0.00350193870283871,1199
2015,3,-0.0432057235847157,1232
2015,4,-0.0261353977744769,1053
2016,1,-0.0138069374151261,1036
2016,2,-0.0135613356719616,1118
2016,3,0.007058331815022,1119
2016,4,0.0268900159700264,1032
2017,1,0.0141289189327778,1068
2017,2,0.0200690924330198,1077
2017,3,0.0320351029576361,1160
2017,4,0.0362009341731622,1214
2018,1,0.00167130737996187,1173
2018,2,-0.0106395348268477,1246
2018,3,-0.0234097497912126,1226
2018,4,-0.0230957389123221,1295
2019,1,-0.0152219251601023,1339
2019,2,-0.00432881611475247,1355
2019,3,0.0121169274106752,1361
2019,4,-0.0253101832812263,1299
2020,1,-3.67554190807312e-05,1171
2020,2,-0.0135474886193989,1125
2020,3,-0.0186996373046202,1125
2020,4,-0.034980119005818,1103
2021,1,-0.0497081848408889,1009
2021,2,-0.0737353488256903,582
2021,3,-0.0830591895645551,733
2021,4,-0.090415665623941,665
2022,1,-0.0375720211710085,512
2022,2,-0.0202844550206465,656
2022,3,0.00859741230532136,960
2022,4,0.0376293543355629,941
2023,1,0.0266724488213,1070
2023,2,0.0497850680139036,1084
2023,3,0.0355463673858676,1102
2023,4,0.0364122977163374,1139
2024,1,0.036732982898805,1125
2024,2,0.030425033851143,1161
2024,3,0.0248398687896895,1166
2024,4,0.0183014759407759,1106
2025,1,0.0208596201520271,1164
2025,2,0.0218852385126577,1219
