"ano_final","trimestre","mediana_variacao"
2013,1,0.090032154340836
2013,2,0.090032154340836
2013,3,0.090032154340836
2013,4,0.090032154340836
2014,1,0.0678466076696165
2014,2,0.0678466076696165
2014,3,0.0678466076696165
2014,4,0.0625
2015,1,0.0625
2015,2,0.0563380281690141
2015,3,0.05
2015,4,0.0359116022099447
2016,1,0.0344827586206897
2016,2,0.0526315789473684
2016,3,0.0666666666666667
2016,4,0.0666666666666667
2017,1,0.0555555555555556
2017,2,0.0526315789473684
2017,3,0.0411111111111111
2017,4,0.0411111111111111
2018,1,0.0181430096051227
2018,2,0.0169491525423729
2018,3,0.00485380116959064
2018,4,0
2019,1,0
2019,2,0.0191082802547771
2019,3,0
2019,4,0
2020,1,0
2020,2,0
2020,3,0
2020,4,0
2021,1,0
2021,2,0
2021,3,0
2021,4,0
2022,1,0.08
2022,2,0.101818181818182
2022,3,0.101818181818182
2022,4,0.101818181818182
2023,1,0.0742574257425743
2023,2,0.0742574257425743
2023,3,0.0869565217391304
2023,4,0.0726072607260726
2024,1,0.0769230769230769
2024,2,0.0696969696969697
2024,3,0.0696969696969697
2024,4,0.0696969696969697
2025,1,0.0696969696969697
2025,2,0.075070821529745
