"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.0833333333333333,233
2013,2,-0.119429590017825,278
2013,3,-0.251307922272048,324
2013,4,-0.2,296
2014,1,-0.230769230769231,285
2014,2,-0.142857142857143,258
2014,3,-0.120833333333333,270
2014,4,-0.11437908496732,238
2015,1,-0.217391304347826,278
2015,2,0,307
2015,3,-0.0869565217391304,309
2015,4,-0.15,309
2016,1,-0.0769230769230769,260
2016,2,-0.166666666666667,311
2016,3,-0.0385185185185185,388
2016,4,-0.054093567251462,228
2017,1,-0.0666666666666667,254
2017,2,0,197
2017,3,-0.0178571428571429,255
2017,4,-0.0666666666666667,314
2018,1,-0.0954545454545455,220
2018,2,-0.0384245547905689,257
2018,3,-0.117647058823529,269
2018,4,-0.166666666666667,308
2019,1,-0.05,335
2019,2,-0.0416666666666667,303
2019,3,-0.142857142857143,340
2019,4,-0.0476190476190476,348
2020,1,-0.0685446009389671,320
2020,2,-0.0555555555555556,308
2020,3,0,313
2020,4,-0.0341868473672517,326
2021,1,0,192
2021,2,0,103
2021,3,0,129
2021,4,0,141
2022,1,-0.00555555555555556,128
2022,2,-0.166666666666667,140
2022,3,-0.166666666666667,180
2022,4,-0.1,198
2023,1,-0.114754098360656,165
2023,2,-0.207142857142857,240
2023,3,-0.2,268
2023,4,-0.146428571428571,258
2024,1,-0.204497214290046,292
2024,2,-0.0465367965367965,254
2024,3,-0.125,311
2024,4,-0.0476190476190476,327
2025,1,-0.111111111111111,221
2025,2,-0.151203485704526,214
2025,3,-0.130434782608696,201
