"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.13508493576455,233
2013,2,-0.170861357144318,278
2013,3,-0.29695849762568,324
2013,4,-0.242221428376202,296
2014,1,-0.264060736378157,285
2014,2,-0.198292586397939,258
2014,3,-0.171915122850544,270
2014,4,-0.167944235495656,238
2015,1,-0.278448619185432,278
2015,2,-0.0884061282394766,307
2015,3,-0.163847149343478,309
2015,4,-0.23109929585329,309
2016,1,-0.160335096493875,260
2016,2,-0.236818657646763,311
2016,3,-0.113757577614814,388
2016,4,-0.11313916792669,228
2017,1,-0.109542872219199,254
2017,2,-0.0417195376401057,197
2017,3,-0.0549153379683423,255
2017,4,-0.0938864052964271,314
2018,1,-0.117888564107498,220
2018,2,-0.071582663676366,257
2018,3,-0.15445908933882,269
2018,4,-0.20124264560162,308
2019,1,-0.0909681098185998,335
2019,2,-0.0830430755832671,303
2019,3,-0.17017080709622,340
2019,4,-0.0719316828263708,348
2020,1,-0.105212049631972,320
2020,2,-0.0777206260237047,308
2020,3,-0.0358114945998922,313
2020,4,-0.0687349863333647,326
2021,1,-0.0508064487517591,192
2021,2,-0.0755317878173448,103
2021,3,-0.0957883582020322,129
2021,4,-0.100686275280702,141
2022,1,-0.103467019431651,128
2022,2,-0.259711154214255,140
2022,3,-0.236734281108473,180
2022,4,-0.158595319630142,198
2023,1,-0.161278571809271,165
2023,2,-0.241369092557782,240
2023,3,-0.238371273857372,268
2023,4,-0.18811844352951,258
2024,1,-0.237635707914574,292
2024,2,-0.0845349541680764,254
2024,3,-0.157496480187516,311
2024,4,-0.0992728157862332,327
2025,1,-0.15572788348398,221
2025,2,-0.193637629033404,214
2025,3,-0.171880052673335,201
