"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.0857142857142857,1255
2013,2,0,1432
2013,3,-0.0461538461538462,1517
2013,4,-0.0476190476190476,1589
2014,1,0,1720
2014,2,0,1708
2014,3,0,1908
2014,4,0,1903
2015,1,0,1873
2015,2,0,1948
2015,3,0,1926
2015,4,0,2156
2016,1,0,1931
2016,2,0,2113
2016,3,0,2212
2016,4,-0.024390243902439,2125
2017,1,0,1704
2017,2,0,1806
2017,3,0,2012
2017,4,0,2026
2018,1,0,1813
2018,2,0,1778
2018,3,0,1910
2018,4,0,1957
2019,1,0,1997
2019,2,0,1927
2019,3,0,2050
2019,4,0,2018
2020,1,0,1882
2020,2,0,1756
2020,3,0,1878
2020,4,0,1916
2021,1,0,1081
2021,2,0,579
2021,3,0,799
2021,4,0,713
2022,1,0,653
2022,2,-0.0148351648351648,828
2022,3,-0.0689004963263183,1092
2022,4,0,1355
2023,1,0,1171
2023,2,0,1384
2023,3,0,1509
2023,4,0,1408
2024,1,0,1491
2024,2,0,1613
2024,3,0,1660
2024,4,0,1704
2025,1,0,1537
2025,2,0,1681
2025,3,0,1666
