"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.142007032476739,1255
2013,2,-0.0640286575205913,1432
2013,3,-0.100742166976605,1517
2013,4,-0.099473802844974,1589
2014,1,-0.064246458314827,1720
2014,2,-0.0701185170315389,1708
2014,3,-0.0703786038823858,1908
2014,4,-0.0699946412682602,1903
2015,1,-0.0762995696707782,1873
2015,2,-0.0865434438109355,1948
2015,3,-0.0960917114527874,1926
2015,4,-0.108070134736911,2156
2016,1,-0.103137663722139,1931
2016,2,-0.0892332745497871,2113
2016,3,-0.0850301320829841,2212
2016,4,-0.0895121486185559,2125
2017,1,-0.0510773625693427,1704
2017,2,-0.0408218391829671,1806
2017,3,-0.0282149680330702,2012
2017,4,-0.0322948539551176,2026
2018,1,-0.0347023478294651,1813
2018,2,-0.0371319640582259,1778
2018,3,-0.0481939471072831,1910
2018,4,-0.0430151299745693,1957
2019,1,-0.042571311943533,1997
2019,2,-0.0435248288237796,1927
2019,3,-0.0329032519808998,2050
2019,4,-0.035024956838399,2018
2020,1,-0.0399925282515657,1882
2020,2,-0.0250633520963073,1756
2020,3,-0.0270265304901326,1878
2020,4,-0.047672897298693,1916
2021,1,-0.0508064487517591,1081
2021,2,-0.0772359675065701,579
2021,3,-0.0892840925469491,799
2021,4,-0.0973178206915288,713
2022,1,-0.104537527315297,653
2022,2,-0.126001358671065,828
2022,3,-0.141994922986642,1092
2022,4,-0.0663054963027881,1355
2023,1,-0.0535739095490246,1171
2023,2,-0.0453690542992113,1384
2023,3,-0.0467480310613621,1509
2023,4,-0.0523801166187689,1408
2024,1,-0.0440954572248232,1491
2024,2,-0.0405766986722334,1613
2024,3,-0.044406927687664,1660
2024,4,-0.0500953734448254,1704
2025,1,-0.0508013576254775,1537
2025,2,-0.0545921039727431,1681
2025,3,-0.0538058457011353,1666
