"ano_final","trimestre","mediana_variacao","obs"
2013,1,0,2346
2013,2,0,2531
2013,3,0,2774
2013,4,0,2778
2014,1,0,1761
2014,2,0,1959
2014,3,0,1946
2014,4,0,2141
2015,1,0,2401
2015,2,0,2457
2015,3,0,2494
2015,4,0,2579
2016,1,0,2380
2016,2,0,2659
2016,3,0,2652
2016,4,0,2807
2017,1,0,2382
2017,2,0,2445
2017,3,0,2566
2017,4,0,2661
2018,1,0,2426
2018,2,0,2504
2018,3,0,2615
2018,4,0,2706
2019,1,0,2760
2019,2,0,2680
2019,3,0,2714
2019,4,0,2710
2020,1,0,2537
2020,2,0,2281
2020,3,0,2261
2020,4,0,2387
2021,1,0,1655
2021,2,0,828
2021,3,0,1143
2021,4,0,995
2022,1,0,972
2022,2,0,1263
2022,3,0,1567
2022,4,0,1987
2023,1,0,2108
2023,2,0,2240
2023,3,0,2411
2023,4,0,2437
2024,1,0,2420
2024,2,0,2549
2024,3,0,2653
2024,4,0,2692
2025,1,0,2294
2025,2,0,2349
2025,3,0,2449
