"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.0562077357244129,1235
2013,2,-0.0571189964236322,1359
2013,3,-0.0545966995893638,1556
2013,4,-0.0548658217548833,1526
2014,1,-0.0537172051431353,771
2014,2,-0.059230851230319,889
2014,3,-0.0609224877535906,938
2014,4,-0.0596453085146585,997
2015,1,-0.069454912995127,1266
2015,2,-0.0784320662330546,1339
2015,3,-0.0888412526566231,1346
2015,4,-0.0939623630150761,1293
2016,1,-0.0907969258725208,1223
2016,2,-0.0841823891761158,1357
2016,3,-0.0783024673706526,1303
2016,4,-0.0628001361915264,1390
2017,1,-0.0452941077856099,1249
2017,2,-0.0339492607348953,1297
2017,3,-0.0244810376455403,1314
2017,4,-0.0264660606226548,1392
2018,1,-0.0288713919136498,1292
2018,2,-0.0344831069168733,1315
2018,3,-0.0438226831444153,1380
2018,4,-0.0405038861224796,1460
2019,1,-0.0398413770310997,1479
2019,2,-0.0413632153825064,1425
2019,3,-0.0303569458632127,1466
2019,4,-0.0319841985971218,1504
2020,1,-0.0353517264216188,1441
2020,2,-0.0204815254932568,1281
2020,3,-0.0231567405694062,1289
2020,4,-0.0369186803699562,1356
2021,1,-0.0502666767374189,1154
2021,2,-0.0747482719626776,632
2021,3,-0.0892840925469491,861
2021,4,-0.0948766894679717,747
2022,1,-0.0945193593511577,518
2022,2,-0.105264620941432,648
2022,3,-0.0705312614641981,726
2022,4,-0.0510720329813933,983
2023,1,-0.041373603615641,1084
2023,2,-0.0287303694154439,1191
2023,3,-0.0431410688451388,1303
2023,4,-0.044734486570492,1334
2024,1,-0.0395112471337165,1299
2024,2,-0.0355699026449179,1336
2024,3,-0.0372083035994326,1459
2024,4,-0.0419999575632544,1425
2025,1,-0.044723897123881,1140
2025,2,-0.0486930436267628,1235
2025,3,-0.046384022789176,1255
