"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.0346653260025292,8550
2013,2,-0.0561637603146517,9162
2013,3,-0.0544556998706691,9251
2013,4,-0.052776785470253,8805
2014,1,-0.043278957291604,9989
2014,2,-0.0540803630283907,10454
2014,3,-0.0592569188012598,10939
2014,4,-0.0592810388319363,11208
2015,1,-0.0662833719506917,10514
2015,2,-0.0761713004982791,10853
2015,3,-0.0864240344710626,10963
2015,4,-0.0887998176421002,10925
2016,1,-0.0899291165308755,10757
2016,2,-0.0809400312326385,11148
2016,3,-0.0778496117184516,11508
2016,4,-0.0600763874905612,11694
2017,1,-0.040822818244227,11236
2017,2,-0.0304837735940379,11634
2017,3,-0.0221490260851019,11818
2017,4,-0.0247962418309038,11554
2018,1,-0.0266218575633892,11332
2018,2,-0.0312968179082689,11340
2018,3,-0.0417203012506622,11114
2018,4,-0.0405038861224797,11190
2019,1,-0.0380143520404054,10892
2019,2,-0.0400414318347097,11113
2019,3,-0.0299002626116844,11004
2019,4,-0.0306946318830842,10617
2020,1,-0.0346420123085521,9874
2020,2,-0.0166663903623884,8658
2020,3,-0.0225177340499984,8594
2020,4,-0.0369186803699562,8489
2021,1,-0.0502666767374189,6970
2021,2,-0.0755317878173449,3753
2021,3,-0.089284092546949,5161
2021,4,-0.0921848273023602,4686
2022,1,-0.0913585812878069,3874
2022,2,-0.0987878864180144,4991
2022,3,-0.0704577383401921,7018
2022,4,-0.0445343800815467,7690
2023,1,-0.0395135374498234,8075
2023,2,-0.0274077808875304,8777
2023,3,-0.0423115337054965,8901
2023,4,-0.04407775220346,8679
2024,1,-0.0358383259041113,8649
2024,2,-0.0333346852353784,9023
2024,3,-0.0344328999229904,9346
2024,4,-0.0397921885709272,8915
2025,1,-0.0426684861166009,9678
2025,2,-0.0472167816267024,10187
2025,3,-0.0443123968572818,10319
