"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.15,8158
2013,2,0.142857142857143,8279
2013,3,0.141479099678457,7834
2013,4,0.133333333333333,7736
2014,1,0.166666666666667,7839
2014,2,0.150442477876106,7873
2014,3,0.132743362831858,7909
2014,4,0.111602753195674,7910
2015,1,0.118881118881119,8217
2015,2,0.104972375690608,8059
2015,3,0.104972375690608,8271
2015,4,0.104972375690608,7794
2016,1,0.116751269035533,7933
2016,2,0.116751269035533,7912
2016,3,0.116751269035533,8012
2016,4,0.116751269035533,7829
2017,1,0.136363636363636,8880
2017,2,0.0833333333333333,8707
2017,3,0.0647727272727273,8866
2017,4,0.0681818181818182,8749
2018,1,0.0672358591248666,8519
2018,2,0.0672358591248666,8769
2018,3,0.06,8707
2018,4,0.0672358591248666,8767
2019,1,0.0505263157894737,8036
2019,2,0.0482180293501048,7854
2019,3,0.0482180293501048,8196
2019,4,0.0526315789473684,7657
2020,1,0.0526315789473684,6895
2020,2,0.0470941883767535,5147
2020,3,0.0470941883767535,4993
2020,4,0.0470941883767535,4894
2021,1,0.0526315789473684,4946
2021,2,0.0526315789473684,2808
2021,3,0.0526315789473684,4122
2021,4,0.0526315789473684,3595
2022,1,0.154285714285714,3495
2022,2,0.181818181818182,4672
2022,3,0.159808612440191,6781
2022,4,0.181818181818182,7591
2023,1,0.155115511551155,8055
2023,2,0.101485148514851,8314
2023,3,0.1,8043
2023,4,0.0891089108910891,7496
2024,1,0.1,7610
2024,2,0.0984848484848485,8143
2024,3,0.1,8343
2024,4,0.136363636363636,7777
2025,1,0.13314447592068,7614
2025,2,0.13314447592068,7629
2025,3,0.13314447592068,7772
