"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0771353915218627,8158
2013,2,0.0631380847621773,8279
2013,3,0.070067703239039,7834
2013,4,0.074634872260566,7736
2014,1,0.104794366741266,7839
2014,2,0.0838650725918559,7873
2014,3,0.064215610606075,7909
2014,4,0.0459782920933464,7910
2015,1,0.0378951840586048,8217
2015,2,0.0168997205674608,8059
2015,3,0.00584642983295893,8271
2015,4,0.00685103022972374,7794
2016,1,0.024985527174698,7933
2016,2,0.0315351499850407,7912
2016,3,0.0317258115953578,8012
2016,4,0.0496608870663782,7829
2017,1,0.0776209638588911,8880
2017,2,0.0477167266769599,8707
2017,3,0.0474239113001876,8866
2017,4,0.0508588671493386,8749
2018,1,0.048134752554966,8519
2018,2,0.0338347727766606,8769
2018,3,0.0151889424244532,8707
2018,4,0.0218448219033469,8767
2019,1,0.0124923260395068,8036
2019,2,0.00769849041236723,7854
2019,3,0.0168760349982344,8196
2019,4,0.0229588542332404,7657
2020,1,0.0163959307980467,6895
2020,2,0.0316434759948766,5147
2020,3,0.0228468999047801,4993
2020,4,0.0046806017296431,4894
2021,1,-0.00694505315872912,4946
2021,2,-0.0281423959344883,2808
2021,3,-0.0413516763652095,4122
2021,4,-0.0492029416316054,3595
2022,1,0.043264801422905,3495
2022,2,0.0574145388873979,4672
2022,3,0.0688208931129789,6781
2022,4,0.120433404436654,7591
2023,1,0.100178610517179,8055
2023,2,0.0724361115180944,8314
2023,3,0.0568465035774491,8043
2023,4,0.0485613340774522,7496
2024,1,0.0565376281529119,7610
2024,2,0.0537444860973165,8143
2024,3,0.0538721596902468,8343
2024,4,0.0794370756308802,7777
2025,1,0.0813793950486059,7614
2025,2,0.0760485843530159,7629
2025,3,0.0725801041122636,7772
