ano_final,trimestre,mediana_variacao,obs
2012,1,0.0,596
2012,2,0.090032154340836,2457
2012,3,0.03750000000000009,761
2012,4,0.0,681
2013,1,0.06784660766961648,3241
2013,2,0.06784660766961648,2778
2013,3,0.06784660766961648,2048
2013,4,0.06784660766961648,3282
2014,1,0.07734806629834257,3027
2014,2,0.0,1121
2014,3,0.08839779005524862,3091
2014,4,0.0,724
2015,1,0.08708333333333329,2754
2015,2,0.0,751
2015,3,0.0,657
2015,4,0.0,813
2016,1,0.0647727272727272,3012
2016,2,0.0,744
2016,3,0.0647727272727272,2601
2016,4,0.0647727272727272,2292
2017,1,0.018143009605122717,2701
2017,2,0.0,704
2017,3,0.018143009605122717,2487
2017,4,0.018143009605122717,2016
2018,1,0.0,657
2018,2,0.0,686
2018,3,0.03473330036763922,2500
2018,4,0.0,662
2019,1,0.0,606
2019,2,0.04499999999999993,1479
2019,3,0.002004008016031955,1643
2019,4,0.0,1543
2020,1,0.0,201
2020,2,0.0,124
2020,3,0.0,185
2020,4,0.0,234
2021,1,0.0,160
2021,2,0.0,251
2021,3,0.10181818181818181,1680
2021,4,0.00666666666666671,480
2022,1,0.07425742574257432,1743
2022,2,0.0,461
2022,3,0.08910891089108919,1745
2022,4,0.08910891089108919,1676
2023,1,0.08448540706605212,1783
2023,2,0.0,460
2023,3,0.0,534
2023,4,0.06969696969696959,1505
2024,1,0.07082152974504252,1446
2024,2,0.06901408450704216,415
