ano_final,trimestre,mediana_variacao,obs
2012,1,-0.04086724683904985,596
2012,2,0.013491767237268082,2457
2012,3,0.0,761
2012,4,-0.027655992135733998,681
2013,1,0.013022304759730208,3241
2013,2,0.005850825894885281,2778
2013,3,0.0043261118730422154,2048
2013,4,0.0033233519307058756,3282
2014,1,-0.00039670751043818786,3027
2014,2,-0.07843206623305443,1121
2014,3,-0.005665938070714471,3091
2014,4,-0.08652396992566258,724
2015,1,-0.013313051447887969,2754
2015,2,-0.08486440315289756,751
2015,3,-0.08359513973713795,657
2015,4,-0.07057089442283937,813
2016,1,0.009169939586703646,3012
2016,2,-0.030673310669167564,744
2016,3,0.03203510295763623,2601
2016,4,0.03141155206013613,2292
2017,1,-0.0019723513804538184,2701
2017,2,-0.023160181801419433,704
2017,3,-0.02245357409414339,2487
2017,4,-0.015912744678671098,2016
2018,1,-0.036146770154440455,657
2018,2,-0.0395289019117161,686
2018,3,0.0017837582233569682,2500
2018,4,-0.030694631883084078,662
2019,1,-0.03567298581745204,606
2019,2,0.01674887731021224,1479
2019,3,0.0,1643
2019,4,-0.03498011900581799,1543
2020,1,-0.05026667673741869,201
2020,2,-0.06674122409795258,124
2020,3,-0.08873790374530488,185
2020,4,-0.08393667408955363,234
2021,1,-0.09451935935115774,160
2021,2,-0.10835809076579328,251
2021,3,0.00925634621705762,1680
2021,4,0.0,480
2022,1,0.023053441840407363,1743
2022,2,-0.03008627250187812,461
2022,3,0.0401667674562185,1745
2022,4,0.03683441719556679,1676
2023,1,0.03332284091622917,1783
2023,2,-0.037136771983159345,460
2023,3,0.0,534
2023,4,0.018781114979253388,1505
2024,1,0.017084001830334872,1446
2024,2,0.012332169521628744,415
