ano_inicial,trimestre,mediana_variacao
2012,1,0.090032154340836
2012,2,0.031414473684210575
2012,3,0.090032154340836
2012,4,0.090032154340836
2013,1,0.0
2013,2,0.0
2013,3,0.026153846153846083
2013,4,0.0
2014,1,0.0
2014,2,0.0
2014,3,0.0
2014,4,0.0714285714285714
2015,1,0.0
2015,2,0.0714285714285714
2015,3,0.08140592515592515
2015,4,0.081675392670157
2016,1,0.0
2016,2,0.0647727272727272
2016,3,0.0
2016,4,0.0
2017,1,0.0
2017,2,0.018143009605122717
2017,3,0.0
2017,4,0.0
2018,1,0.01836734693877551
2018,2,0.024270726714431867
2018,3,0.0
2018,4,0.0
2019,1,0.002004008016031955
2019,2,0.0
2019,3,0.0
2019,4,0.0
2020,1,0.0
2020,2,0.0
2020,3,0.0
2020,4,0.0
2021,1,0.0625
2021,2,0.10181818181818181
2021,3,0.0
2021,4,0.10181818181818181
2022,1,0.05555555555555558
2022,2,0.07425742574257432
2022,3,0.0
2022,4,0.0
2023,1,0.0
2023,2,0.06969696969696959
2023,3,0.06969696969696959
2023,4,0.0
2024,1,0.0017921146953404632
2024,2,0.07507082152974509
