ano_inicial,trimestre,mediana_variacao
2012,1,0.015408167844378706
2012,2,-0.03448034593977173
2012,3,0.016859572390910182
2012,4,0.023895359765543356
2013,1,-0.05134099084655097
2013,2,-0.05510732845166011
2013,3,-0.029073119376458345
2013,4,-0.05928103883193625
2014,1,-0.06589433434725578
2014,2,-0.0748813677856972
2014,3,-0.07926402130663124
2014,4,-0.022325849504643558
2015,1,-0.08992911653087554
2015,2,-0.010329101231884574
2015,3,-0.002241081169960135
2015,4,0.005910898120373265
2016,1,-0.04159823690071024
2016,2,0.019836233763344424
2016,3,-0.019387816894721244
2016,4,-0.021908261669743134
2017,1,-0.01975691115669309
2017,2,-0.012409314933785276
2017,3,-0.03417602733544889
2017,4,-0.03782507816586089
2018,1,-0.011724925246330342
2018,2,-0.0073240027485330095
2018,3,-0.029900262611684325
2018,4,-0.024097253061488466
2019,1,-0.02948857286155493
2019,2,-0.02129302153736856
2019,3,-0.02251773404999846
2019,4,-0.04009275925663314
2020,1,-0.04970818484088879
2020,2,-0.07373534882569033
2020,3,-0.0880360244680406
2020,4,-0.09041566562394099
2021,1,-0.03988376906264979
2021,2,-0.017667350443755225
2021,3,-0.05296047223836042
2021,4,0.03431330065967897
2022,1,0.008466242312721306
2022,2,0.043887802370699225
2022,3,-0.041525646915078984
2022,4,-0.038474318392025975
2023,1,-0.03741287388885417
2023,2,0.030198455546699754
2023,3,0.019870043284850647
2023,4,-0.037290317277007046
2024,1,-0.04073213250908814
2024,2,0.0183036889488446
