"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,9503
2013,2,0,2370
2013,3,0,2245
2013,4,0.090032154340836,11459
2014,1,0.0678466076696165,9559
2014,2,0.0678466076696165,11514
2014,3,0,2617
2014,4,0.0678466076696165,11514
2015,1,0.0777777777777778,10911
2015,2,0.0883977900552486,13049
2015,3,0.0883977900552486,9018
2015,4,0,2486
2016,1,0,2980
2016,2,0,3072
2016,3,0.1,12633
2016,4,0.1,12550
2017,1,0,2906
2017,2,0,2976
2017,3,0,2954
2017,4,0.0647727272727273,12557
2018,1,0,2924
2018,2,0.0181430096051227,9390
2018,3,0.0181430096051227,11823
2018,4,0,3275
2019,1,0.0181430096051227,11010
2019,2,0.0461215932914046,10760
2019,3,0.0461215932914046,8552
2019,4,0.0454545454545455,10267
2020,1,0.00200400801603206,11664
2020,2,0,2173
2020,3,0.00166253911043793,9482
2020,4,0.0212927756653992,7436
2021,1,0,7971
2021,2,0,1093
2021,3,0,6337
2021,4,0,5546
2022,1,0.0833333333333333,4454
2022,2,0,1319
2022,3,0.101818181818182,8169
2022,4,0.101818181818182,9002
2023,1,0.0408333333333333,2242
2023,2,0.0742574257425743,12481
2023,3,0,2747
2023,4,0.0891089108910891,8748
2024,1,0,2605
2024,2,0,3454
2024,3,0.0696969696969697,12066
2024,4,0.0696969696969697,11252
2025,1,0.0708215297450425,11168
2025,2,0.075070821529745,11115
2025,3,0,2506
