"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0154081678443789,9503
2013,2,-0.0584697352242539,2370
2013,3,-0.0518659529007554,2245
2013,4,0.0296037698340408,11459
2014,1,0.0127616994058671,9559
2014,2,0.00564527952625832,11514
2014,3,-0.0552556741166664,2617
2014,4,0.000820199521263003,11514
2015,1,-0.00156109375780528,10911
2015,2,-0.00452204925965549,13049
2015,3,-0.00811981026515686,9018
2015,4,-0.087907864228564,2486
2016,1,-0.0915099744856427,2980
2016,2,-0.0841823891761158,3072
2016,3,0.00690041938962497,12633
2016,4,0.0212293381932723,12550
2017,1,-0.048695578028654,2906
2017,2,-0.0339492607348953,2976
2017,3,-0.0245890007719529,2954
2017,4,0.0303860475500623,12557
2018,1,-0.0178977368559969,2924
2018,2,-0.0124093149337855,9390
2018,3,-0.0243342234718589,11823
2018,4,-0.0320615098840534,3275
2019,1,-0.0181077771637684,11010
2019,2,-8.33413301921676e-05,10760
2019,3,0.00966805931401191,8552
2019,4,0.00365257550058742,10267
2020,1,-0.0303386625841864,11664
2020,2,-0.0204815254932568,2173
2020,3,-0.0186996373046203,9482
2020,4,-0.0235815564998003,7436
2021,1,-0.0496207438205684,7971
2021,2,-0.0755317878173449,1093
2021,3,-0.0830591895645552,6337
2021,4,-0.0839366740895538,5546
2022,1,-0.0227388363673398,4454
2022,2,-0.101316575644055,1319
2022,3,0.00834567119728197,8169
2022,4,0.0343133006596787,9002
2023,1,-0.00986886440536084,2242
2023,2,0.0420312821673341,12481
2023,3,-0.0415256469150789,2747
2023,4,0.0364122977163372,8748
2024,1,-0.0358383259041112,2605
2024,2,-0.0377977548075298,3454
2024,3,0.0230322343443695,12066
2024,4,0.0158763880273029,11252
2025,1,0.0170840018303349,11168
2025,2,0.0200434219900999,11115
2025,3,-0.0463840227891759,2506
