"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.00108781007145111,19242
2013,2,-0.0571189964236322,13805
2013,3,-0.0552973546740753,12382
2013,4,-0.0546928348126558,14051
2014,1,0.00221062377909931,19658
2014,2,-0.059230851230319,13358
2014,3,-0.0609224877535905,14028
2014,4,-0.0612834922881844,14614
2015,1,-0.0419429070228266,22137
2015,2,-0.0563117771913827,21884
2015,3,-0.0770025386885369,21991
2015,4,-0.0975315533889018,13242
2016,1,-0.0915099744856426,16333
2016,2,-0.0702085567274893,22632
2016,3,-0.0638488679787375,23340
2016,4,-0.0419489061149486,23296
2017,1,-0.029785743394299,23128
2017,2,-0.0203233527511524,23192
2017,3,-0.0162934450969423,24012
2017,4,-0.0130674460070246,23894
2018,1,-0.0178808898304355,22589
2018,2,-0.0255171802501499,22623
2018,3,-0.032054530543705,22509
2018,4,-0.0359954510345785,22584
2019,1,-0.0398413770310998,16027
2019,2,-0.0384910132828088,22040
2019,3,-0.0282122918485472,22437
2019,4,-0.0325370325887485,15914
2020,1,-0.0355181455520372,15048
2020,2,-0.0221104950494765,11537
2020,3,-0.0270265304901324,11461
2020,4,-0.0369186803699561,16504
2021,1,-0.0502666767374188,13629
2021,2,-0.0737353488256905,7245
2021,3,-0.089284092546949,7477
2021,4,-0.0904156656239411,8753
2022,1,-0.0830243278292107,8344
2022,2,-0.101316575644055,7701
2022,3,-0.000326124156203408,15135
2022,4,-0.0457346410740434,12001
2023,1,0.0169827499573654,18675
2023,2,-0.0309676295256272,11698
2023,3,-0.0441200115222695,12236
2023,4,-0.0453327525885776,12050
2024,1,0.00860506954133457,19081
2024,2,-0.0355699026449179,13391
2024,3,0.0100233100461517,20759
2024,4,0.00282258616978451,20029
2025,1,0.00153248842758371,20272
2025,2,0.0087955478309524,20939
2025,3,0.00380277821068487,21005
