ano_inicial,trimestre,mediana_variacao,obs
2012,1,0.015408167844378706,4263
2012,2,-0.03448034593977173,2134
2012,3,0.016859572390910182,4399
2012,4,0.023895359765543356,4773
2013,1,-0.05134099084655097,1827
2013,2,-0.05510732845166011,2406
2013,3,-0.029073119376458345,3170
2013,4,-0.05928103883193625,2121
2014,1,-0.06589433434725578,2226
2014,2,-0.0748813677856972,3774
2014,3,-0.07926402130663124,2273
2014,4,-0.022325849504643558,5123
2015,1,-0.08992911653087554,2385
2015,2,-0.010329101231884574,4733
2015,3,-0.002241081169960135,4898
2015,4,0.005910898120373265,4827
2016,1,-0.04159823690071024,1848
2016,2,0.019836233763344424,4456
2016,3,-0.019387816894721244,2387
2016,4,-0.021908261669743134,2595
2017,1,-0.01975691115669309,2063
2017,2,-0.012409314933785276,4488
2017,3,-0.03417602733544889,2163
2017,4,-0.03782507816586089,2685
2018,1,-0.011724925246330342,4272
2018,2,-0.0073240027485330095,4128
2018,3,-0.029900262611684325,2166
2018,4,-0.024097253061488466,4137
2019,1,-0.02948857286155493,3627
2019,2,-0.02129302153736856,1482
2019,3,-0.02251773404999846,1018
2019,4,-0.04009275925663314,905
2020,1,-0.04970818484088879,1561
2020,2,-0.07373534882569033,839
2020,3,-0.0880360244680406,1247
2020,4,-0.09041566562394099,1258
2021,1,-0.03988376906264979,1409
2021,2,-0.017667350443755225,1947
2021,3,-0.05296047223836042,1175
2021,4,0.03431330065967897,2983
2022,1,0.008466242312721306,1457
2022,2,0.043887802370699225,3210
2022,3,-0.041525646915078984,1478
2022,4,-0.038474318392025975,1490
2023,1,-0.03741287388885417,1347
2023,2,0.030198455546699754,3148
2023,3,0.019870043284850647,3144
2023,4,-0.037290317277007046,1687
2024,1,-0.04073213250908814,1732
2024,2,0.0183036889488446,3147
